title	type	genres	releaseYear	imdbId	imdbAverageRating	imdbNumVotes	availableCountries
Airplane!	movie	Comedy	1980.0	tt0080339	7.7	267702.0	AT, AU, CA, CH, DE, FR, GB, IE, IT, US
An American Werewolf in London	movie	Comedy, Horror	1981.0	tt0082010	7.5	125790.0	BR, CL, CO, IN, MX
Animal Farm	movie	Comedy, Drama, Family	1999.0	tt0204824	6.0	6595.0	AU
JFK	movie	Drama, History, Thriller	1991.0	tt0102138	8.0	173482.0	DE
Judgment at Nuremberg	movie	Drama, War	1961.0	tt0055031	8.3	87909.0	CL, CO, MX
The Bridge on the River Kwai	movie	Adventure, Drama, War	1957.0	tt0050212	8.1	237540.0	AU
Chinatown	movie	Drama, Mystery, Thriller	1974.0	tt0071315	8.1	357835.0	AT, CH, DE, FR, GB, IE, IT
M	movie	Crime, Mystery, Thriller	1931.0	tt0022100	8.3	173002.0	GB
Dune	movie	Action, Adventure, Sci-Fi	1984.0	tt0087182	6.3	183712.0	BR, CL, CO, IN, MX
Dragonslayer	movie	Action, Adventure, Fantasy	1981.0	tt0082288	6.6	20494.0	US
Enemy at the Gates	movie	Action, Drama, War	2001.0	tt0215750	7.5	281784.0	US
Black Hawk Down	movie	Action, Drama, History	2001.0	tt0265086	7.7	431825.0	CA
Saving Private Ryan	movie	Drama, War	1998.0	tt0120815	8.6	1533808.0	CA, US
WarGames	movie	Action, Drama, Sci-Fi	1983.0	tt0086567	7.1	113872.0	CL, CO, MX
Total Recall	movie	Action, Adventure, Sci-Fi	1990.0	tt0100802	7.5	361617.0	BR, CL, CO, MX, US
The Running Man	movie	Action, Sci-Fi, Thriller	1987.0	tt0093894	6.6	171741.0	US
Finding Neverland	movie	Biography, Drama, Family	2004.0	tt0308644	7.7	213471.0	US
Sliver	movie	Drama, Thriller	1993.0	tt0108162	5.1	34791.0	AT, CH, DE, FR, GB, IE, IT
Tsotsi	movie	Crime, Drama	2005.0	tt0468565	7.2	31815.0	DE
Hook	movie	Adventure, Comedy, Family	1991.0	tt0102057	6.8	278043.0	US
Coffee and Cigarettes	movie	Comedy, Drama, Music	2003.0	tt0379217	7.0	68387.0	DE
Crash	movie	Drama	1996.0	tt0115964	6.4	67938.0	AU
The Flintstones	movie	Comedy, Family, Fantasy	1994.0	tt0109813	5.0	88025.0	AU
The Flintstones in Viva Rock Vegas	movie	Comedy, Family, Romance	2000.0	tt0158622	3.7	25952.0	AU
Delicatessen	movie	Comedy, Crime	1991.0	tt0101700	7.5	91221.0	AT, CH, DE, FR
Bringing Up Baby	movie	Comedy	1938.0	tt0029947	7.8	67208.0	DE, US
